"question_id","chapter","topic","question","A","B","C","D","correct_letter (fill A/B/C/D)"
"265282","Continuity and Differentiability","Differentiability (XII-5.2)","If f(x)=x^{2}+\frac{x^{2}}{1+x^{2}}+\frac{x^{2}}{\left(1+x^{2}\right)^{2}}+\ldots+\frac{x^{2}}{\left(1+x^{2}\right)^{n}}+\ldots then at x = 0, f(x)ṁ","in continuous but not differentiable","is discontinuous","is differentiable","has no limit",""
"1018248","Continuity and Differentiability","Differentiability (XII-5.2)","The set of points where the function f given by |3x - 2| sin x is differentiable is","R - \{\frac 23 \}","R + \{\frac 23 \}","(0, \infty )","R",""
"1023685","Continuity and Differentiability","Differentiability (XII-5.2)","If y = f (\frac {3x + 4}{5x + 6}) and f'(x) = tan x 2 then \frac {dy}{dx} is equal to","tan x 2","f(\frac {3 \tan x^2 + 4}{5 \tan x^2 + 6})","-2 tan (\frac {3x + 4}{5x + 3}) \times \frac 1{(5x + 3)^2}","-2 tan (\frac {3x + 4}{5x + 6}) \times \frac 1{(5x + 6)^2}",""
"1023700","Continuity and Differentiability","Differentiability (XII-5.2)","Let f(x) = \left\{\begin{array}{lr} -1, & -2 \leq x<0 \\ x^{2}-1, & 0<x \leq 2 \end{array}\right. and g(x) = |f(x)| + f(|x|) then the number of points at which g(x) is non-differentiable is","two","at most one point","exactly one point","infinite",""
"1023725","Continuity and Differentiability","Differentiability (XII-5.2)","Let f(x) = x 2 lxl then the set of values, where f(x) is three times differentiable, is","Infinite","2","Definite","3",""
"1023735","Continuity and Differentiability","Differentiability (XII-5.2)","Let f(x) = c^{\frac 32}-\sqrt {x^3 + x^2} then","RHD at x = 0 exists but LHD at x = 0 does not exists","LHD at x = 0 exists but RHD at x = 0 does not exists","RHD at x \neq 0 exists but LHD at x \neq 0 does not exists","f(x) is differentiable at x = 0",""
"1023745","Continuity and Differentiability","Differentiability (XII-5.2)","If f(x) = \frac{\sin 4 \pi\left[\pi^{2} x\right]}{7+[x]^{2}},[\cdot] denotes the greatest integer function, then f(x) is","continuous for all x but f(x) does not exist","discontinuous at some x","(x) exists but f'(x) does not exist for some value of x.","f'(x) exists for all x",""
"1023751","Continuity and Differentiability","Differentiability (XII-5.2)","Find \frac{d y}{d x} of y=\sin (a x+b) .","a. \sin (a x+b)","a. \cos (a x+b)","b. \sin (a x+b)","b \cdot \cos (a x+b)",""
"1023761","Continuity and Differentiability","Differentiability (XII-5.2)","Let f(x) = \begin{cases}x, & x 2\end{cases} then f(x) is","differentiable at x = 1 and x = 2","Not differentiable at x = 1","differentiable at x = 1","differentiable at x = 2",""
"1024018","Continuity and Differentiability","Differentiability (XII-5.2)","f: [-2n, 2a] \rightarrow R is an odd function such that the left hand derivative at x = a is zero and f(x) = f(2a - x) \forall x \in (a, 2a). Then its left hand derivative at x = -a is","0","1","a","does not exist",""
"1024020","Continuity and Differentiability","Differentiability (XII-5.2)","The function f(x) = |x - 3|, x \in K is","is not continuous but differentiable at x = 3","is continuous but not differentiable at x = 3","is continuous and differentiable everywhere","is non continuous and non differentiable everywhere",""
"1141066","Continuity and Differentiability","Differentiability (XII-5.2)","Whenever we define derivative at a point x = c, then at that point \lim _\limits{h \rightarrow 0} \frac{f(c+h)-f(c)}{h}","exists","function is not defined","function is irrational","Does not exist",""
"1141111","Continuity and Differentiability","Differentiability (XII-5.2)","Let f(x) = \left\{\begin{array}{cc} (x-1) \sin \frac{1}{(x-1)} & \text {, if } x \neq 1 \\ 0 & \text {,if } x=1 \end{array}\right. Then, which of the following is true?","f is differentiable at x = 0 but not at x = 1","f is differentiable at x = 0 and at x = 1","f is neither differentiable at x = 0 nor at x = 1","f is differentiable at x = 1 but not at x = 0",""
"1141207","Continuity and Differentiability","Differentiability (XII-5.2)","If y = tan -1 x + cot -1 x + sec -1 x + cosec -1 x, then \frac {dy}{dx} is equal to","1","\pi","\frac{x^2-1}{x^2+1}","0",""
"1141231","Continuity and Differentiability","Differentiability (XII-5.2)","If y = (2 + 3 sin x) (3 - 2 cos x), then the value of \frac{d y}{d x} is","4sinx + 9cosx + 6cos2x","4sinx + 9cosx - 6cos2x","4sinx - 9cosx - 6cos2x","4sinx - 9cosx + 6cos2x",""
"1141258","Continuity and Differentiability","Differentiability (XII-5.2)","The differential coefficient of sin (cos (x 2 )) w.r.t. x is","2xsin(x 2 ) cos(x 2 ) cos x","2xcos(x 2 ) sin(x 2 )","2xsin(x 2 ) cos(x 2 )","-2xsin(x 2 ) cos(cos x 2 )",""
"1141273","Continuity and Differentiability","Differentiability (XII-5.2)","If y = \sqrt{3 x+2}+\frac{1}{\sqrt{2 x^2+4}} , then \frac{d y}{d x} is equal to","\frac{3}{2 \sqrt{3 x+2}}+\frac{2}{\left(2 x^2+4\right)^{\frac 3 2}}","\frac{3}{2 \sqrt{3 x+2}}-\frac{2 x}{\left(2 x^2+4\right)^{\frac 3 2}}","\frac{3}{2 \sqrt{3 x+2}}=\frac{2}{\left(2 x^2+4\right)^{\frac 3 2}}","\frac{3}{2 \sqrt{3 x+2}}+\frac{2 x}{\left(2 x^2+4\right)^{\frac 3 2}}",""
